entrezA	entrezB	MIPPIE_score
69253	69253	0.5952702815819886
69253	17716	0.5317553863432598
72433	72433	0.5317553863432598
72433	67844	0.7285009696669187
67844	67844	0.5317553863432598
21388	21388	0.5317553863432598
20983	20983	0.5313298753109208
12550	12550	0.9633668217392124
12550	16480	0.41426078831584734
20191	20191	0.9410307339301768
69253	22330	0.5317553863432598
67844	81879	0.5317553863432598
16480	65246	0.5317553863432598
20849	20849	0.960547722611142
20541	20541	0.5317553863432598
16438	16438	0.5952702815819886
20191	12288	0.8164556782576167
23859	246317	0.7285009696669187
18783	14812	0.7529407830188879
23859	14812	0.9332721103692524
246317	14812	0.8406468695573823
14812	14812	0.9054478066276525
246317	14811	0.8406468695573823
14812	14811	0.8919663429072877
246317	14805	0.3507458930771186
246317	110637	0.3507458930771186
246317	14806	0.3507458930771186
14812	14806	0.5317553863432598
14805	14806	0.7285009696669187
110637	14806	0.7920158649056475
14806	14806	0.6222702117077465
16480	67731	0.5317553863432598
22330	67731	0.5317553863432598
18424	18424	0.41426078831584734
58869	665113	0.7529407830188879
65246	665113	0.5317553863432598
23859	665113	0.7529407830188879
14812	665113	0.7529407830188879
14811	665113	0.7529407830188879
14806	665113	0.7529407830188879
20849	94212	0.5317553863432598
17701	17701	0.5952702815819886
23859	20430	0.7529407830188879
14811	20430	0.7529407830188879
665113	20430	0.7529407830188879
665113	16531	0.7529407830188879
20191	20648	0.5317553863432598
22330	20648	0.5317553863432598
15364	20648	0.4436502110608205
94212	16797	0.5317553863432598
65246	72512	0.5317553863432598
20849	72512	0.5317553863432598
94212	72512	0.5317553863432598
20128	72512	0.7285009696669187
16797	72512	0.5317553863432598
72512	56501	0.5952702815819886
20648	13405	0.8970326686707022
67731	66395	0.5317553863432598
13405	66395	0.5952702815819886
65246	20692	0.5317553863432598
16531	20692	0.8427572850047658
16772	20692	0.5317553863432598
24063	24063	0.8406468695573823
24063	24066	0.8406468695573823
24066	24066	0.9041617647961112
234779	20963	0.7920158649056475
20963	20963	0.8201397216300332
268973	268973	0.9554829752127704
15364	637515	0.4436502110608205
94212	18033	0.5317553863432598
18033	18033	0.940447869390238
14812	11461	0.5317553863432598
67731	11461	0.5317553863432598
20430	11461	0.7529407830188879
16531	11461	0.8427572850047658
19016	21804	0.5317553863432598
20849	14469	0.5317553863432598
94212	14469	0.5317553863432598
18033	14469	0.5317553863432598
14469	60440	0.3507458930771186
60440	60440	0.7566248263913046
94212	14319	0.5317553863432598
14319	14319	0.5952702815819886
14319	12986	0.8164556782576167
12986	12986	0.41426078831584734
16531	14082	0.7431700716274434
20963	26365	0.3507458930771186
12986	26365	0.3507458930771186
56501	15900	0.5317553863432598
13132	15900	0.5317553863432598
14469	15900	0.5317553863432598
12986	15900	0.5317553863432598
18011	18011	0.3507458930771186
11704	11704	0.8406468695573823
16531	11625	0.8427572850047658
11704	11625	0.5317553863432598
12550	16842	0.5317553863432598
18505	16842	0.8390732416323492
22416	20377	0.4436502110608205
234779	16331	0.5317553863432598
94212	16331	0.7529407830188879
16797	16331	0.5317553863432598
12986	16331	0.5952702815819886
12519	12519	0.6123296656881946
15900	60533	0.5317553863432598
12519	60533	0.90660249123107
60533	60533	0.5488147704494659
67295	76308	0.5317553863432598
11461	15450	0.5317553863432598
13132	11820	0.6367694790401637
13131	11820	0.9065087856941872
11820	11820	0.7110160745283737
16531	14828	0.8427572850047658
15450	14828	0.5317553863432598
11820	14828	0.5317553863432598
14828	14828	0.4412607184416053
14828	69816	0.7529407830188879
16797	22027	0.5317553863432598
15450	22027	0.5317553863432598
11820	22027	0.5317553863432598
14828	22027	0.9311616949218692
69816	22027	0.3507458930771186
170743	170743	0.5317553863432598
19317	19317	0.5952702815819886
20191	12315	0.4436502110608205
14812	12315	0.5317553863432598
16531	12315	0.5317553863432598
72433	16202	0.5317553863432598
67844	16202	0.5317553863432598
21388	16202	0.5317553863432598
20692	16202	0.5317553863432598
16202	16202	0.5952702815819886
384783	16190	0.5952702815819886
11461	66725	0.8164556782576167
14082	66725	0.5952702815819886
66725	66725	0.9631116525078448
20648	15516	0.5317553863432598
15900	15516	0.5317553863432598
18011	15516	0.5317553863432598
110784	15516	0.7920158649056475
15516	15516	0.6222702117077465
20191	58234	0.5317553863432598
23859	58234	0.8783893093242687
14812	58234	0.8427572850047658
14811	58234	0.8427572850047658
665113	58234	0.8427572850047658
20430	58234	0.8427572850047658
16438	12043	0.41426078831584734
18033	12043	0.7529407830188879
15900	12043	0.4159054415340088
15516	12043	0.3507458930771186
12043	12043	0.7920158649056475
16331	21873	0.5317553863432598
21873	53624	0.3507458930771186
21873	12740	0.3507458930771186
15364	12739	0.4436502110608205
21873	12739	0.3507458930771186
12739	12739	0.3507458930771186
14806	50873	0.5317553863432598
11461	50873	0.5952702815819886
15900	50873	0.5317553863432598
12043	50873	0.5952702815819886
20849	210126	0.5317553863432598
16522	16522	0.8201397216300332
14811	14799	0.5317553863432598
665113	14799	0.7529407830188879
58234	14799	0.3507458930771186
20191	238871	0.3507458930771186
12288	238871	0.3507458930771186
18844	18844	0.5313298753109208
214084	13162	0.3507458930771186
214084	20974	0.3507458930771186
13162	20974	0.3507458930771186
18505	17342	0.3407851895947346
17342	17342	0.3507458930771186
23859	66673	0.3507458930771186
665113	83814	0.7529407830188879
14745	83814	0.5317553863432598
